Rank,Player,College,Games,Minitues Per Game,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Year
1336,Aubrey Williams,KENN,31,22.2,6.3,0.8,0.8,0.5,0.5,2016
1337,Dashawn King,UMKC,31,19.4,2.8,1.7,1.0,0.1,0.1,2016
1338,Ryan Kemrite,LIB,32,28.6,4.0,0.9,0.7,0.1,0.1,2016
1339,Eric Robertson,USD,32,20.5,3.2,0.3,0.4,0.6,0.6,2016
1340,Jovante' Spivey,SHSU,34,24.6,2.4,2.5,0.7,0.1,0.1,2016
1341,Daiquan Walker,UCF,30,28.2,3.4,3.8,1.1,0.1,0.1,2016
1342,Jeffrey Carroll,OSU,30,24.8,4.0,0.6,0.6,0.3,0.3,2016
1343,Duran Porter,ACU,31,19.8,3.7,0.6,0.3,0.9,0.9,2016
1344,Ryan Frazier,BU,31,26.9,1.6,1.8,0.6,0.0,0.0,2016
1345,Ja'Michael Brown,UNT,32,27.1,2.6,2.5,1.2,0.0,0.0,2016
1346,DeJuan Marrero,MSU,37,24.3,7.2,1.3,1.1,0.6,0.6,2016
1347,Miles Reynolds,SLU,29,20.4,2.2,2.5,1.0,0.1,0.1,2016
1348,DeAngelo Stewart,IPFW,34,21.0,3.5,0.8,0.3,0.4,0.4,2016
1349,Kedar Edwards,UTM,31,24.3,7.1,1.6,1.5,0.5,0.5,2016
1350,Jaelan Sanford,U of T,32,27.5,2.0,1.8,0.7,0.2,0.2,2016
1351,Carlin Dupree,NDSU,27,27.7,3.3,2.0,1.5,0.1,0.1,2016
1352,Antoine Pittman,BU,29,27.4,2.3,1.2,0.8,0.2,0.2,2016
1353,Kyndahl Hill,WSU,35,23.2,5.9,0.9,0.5,1.0,1.0,2016
1354,Max Bielfeldt,IU,35,17.5,4.5,0.7,0.8,0.5,0.5,2016
1355,Matija Milin,FU,31,19.9,3.7,1.0,0.3,0.4,0.4,2016
1356,Luke Meyer,CMU,33,21.4,4.7,0.2,0.5,1.1,1.1,2016
1357,Reveal Chukwujekwu,HBU,34,23.3,5.0,1.5,0.6,0.1,0.1,2016
1358,Alex Caruso,TAMU,37,28.8,3.6,5.0,2.1,0.4,0.4,2016
1359,Nick Osborne,IUPUI,30,20.4,6.0,0.4,0.4,0.4,0.4,2016
1360,Leo Vincent,SIU,32,21.3,2.0,1.1,0.8,0.0,0.0,2016
1361,Quincy Smith,UH,34,26.6,3.2,2.5,1.7,0.1,0.1,2016
1362,Jordan Strawberry,MER,34,25.4,2.4,3.7,1.0,0.0,0.0,2016
1363,Mike Aaman,WC,34,19.2,5.5,0.6,0.4,0.6,0.6,2016
1364,James Demery,SJU,36,21.6,3.6,0.5,0.4,0.1,0.1,2016
1365,Patrick Onwenu,ASU,29,25.1,4.0,0.8,0.3,1.0,1.0,2016
1366,Landry Nnoko,CLEM,31,22.3,5.7,0.8,0.2,2.3,2.3,2016
1367,Mike Gesell,UI,33,29.9,3.2,6.2,1.3,0.2,0.2,2016
1368,Zoran Talley,ODU,35,23.0,4.5,1.6,0.5,0.1,0.1,2016
1369,Cezar Guerrero,CSUF,35,25.4,3.1,2.4,0.9,0.0,0.0,2016
1370,A.J. Spencer,LBSU,35,25.3,2.9,1.5,0.4,0.1,0.1,2016
1371,Jonathan Laurent,RU,27,24.3,5.1,0.9,0.5,0.2,0.2,2016
1372,Robert Johnson,IU,30,24.9,3.3,3.1,0.6,0.2,0.2,2016
1373,Luke Meikle,POLY,30,19.5,3.1,0.6,0.3,0.3,0.3,2016
1374,Matt Williams,UCF,30,25.9,2.6,0.9,0.4,0.0,0.0,2016
1375,Dylan Cox,USMA,31,27.8,4.5,4.7,0.7,0.5,0.5,2016
1376,Sheldon Jeter,PITT,32,18.6,4.8,0.7,0.7,0.8,0.8,2016
1377,Tashombe Riley,SCSU,34,21.4,5.1,0.4,0.3,0.2,0.2,2016
