Rank,Player,College,Games,Minitues Per Game,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Year
237,Joe Trapani,BC,34,29.9,7.0,1.8,0.7,0.8,0.8,2011
238,Jeffery Taylor,VU,34,31.7,5.5,2.4,1.0,0.6,0.6,2011
239,Chris Long,ELON,31,33.7,2.5,6.1,1.7,0.1,0.1,2011
240,Mike Williams,USF,34,32.5,4.0,1.7,0.6,0.1,0.1,2011
241,Jarrod Jones,BSU,32,29.5,8.4,1.2,0.8,0.7,0.7,2011
242,Demetri McCamey,U of I,34,33.4,3.4,6.1,1.0,0.2,0.2,2011
243,Jorge Gutierrez,Cal,33,33.5,3.8,4.5,1.6,0.2,0.2,2011
244,Logan Aronhalt,ALB,32,34.6,4.7,1.3,0.7,0.3,0.3,2011
245,Preston Knowles,U of L,34,30.1,3.9,3.1,1.9,0.2,0.2,2011
246,Mychel Thompson,PU,33,32.2,5.9,1.9,1.1,1.0,1.0,2011
247,Anthony Banks,FGC,30,30.9,6.4,0.9,0.8,0.4,0.4,2011
248,Desmar Jackson,UW,30,29.8,4.9,2.1,2.0,0.6,0.6,2011
249,Steffphon Pettigrew,WKU,32,33.9,6.1,1.3,0.8,0.6,0.6,2011
250,Brenton Butler,FORD,27,35.7,2.3,3.4,0.6,0.0,0.0,2011
251,J.P. Primm,UNCA,34,33.1,3.7,4.5,2.1,0.2,0.2,2011
252,Rashaun McLemore,CSUN,29,24.6,3.7,1.1,0.6,0.2,0.2,2011
253,Erving Walker,UF,37,32.8,2.9,3.4,1.1,0.0,0.0,2011
254,Ella Ellis,USMA,30,30.8,5.3,1.6,0.7,0.4,0.4,2011
255,Chad Gray,CCU,34,28.9,6.3,1.4,1.0,1.2,1.2,2011
256,Justin Rutty,QU,25,30.9,9.4,1.4,0.4,0.8,0.8,2011
257,DeJuan Wright,FIU,29,30.3,6.7,1.2,1.7,0.7,0.7,2011
258,Josh Watkins,U of U,31,30.5,2.5,3.5,0.9,0.0,0.0,2011
259,Evan Fjeld,UVM,31,29.9,6.3,1.2,0.5,1.8,1.8,2011
260,Aaron Broussard,SEA,31,30.8,7.7,1.3,1.5,0.2,0.2,2011
261,Dewayne Jackson,MSU,31,32.0,4.6,1.4,1.4,0.7,0.7,2011
262,Devon Peltier,CSUF,31,31.8,1.7,1.0,0.6,0.0,0.0,2011
263,Jeremy Granger,EIU,29,35.4,4.3,3.4,1.2,0.2,0.2,2011
264,Demontez Stitt,CLEM,32,34.2,4.3,3.3,1.4,0.4,0.4,2011
265,Malik Story,UNR,32,32.2,3.0,2.0,0.6,0.1,0.1,2011
266,Kenny Moore,TSU,30,29.1,6.9,1.9,1.4,0.4,0.4,2011
267,William Buford,OSU,36,32.4,3.9,2.9,0.8,0.3,0.3,2011
